segment,human_ref,ref_words,Model H_std_wer,Model H_lat_wer,Model H_improvement,Model i_std_wer,Model i_lat_wer,Model i_improvement,Model k_std_wer,Model k_lat_wer,Model k_improvement,Model l_std_wer,Model l_lat_wer,Model l_improvement,Model m_std_wer,Model m_lat_wer,Model m_improvement,Model n_std_wer,Model n_lat_wer,Model n_improvement
1,वही अपना खेती बाड़ी और क्या,6,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0
2,मौनता का अर्थ क्या होता है,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.6667,0.3333,0.1667,0.1666,1.0,0.1667,0.8333,0.3333,0.0,0.3333
3,और रक्षाबंधन पे चलो बहनों को,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.3333,0.1667,0.1666
4,एक सिंपल और सादा वे में,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.1667,0.1666,0.0,0.0,0.0,0.0,0.0,0.0
5,आने वाली चुनौतियों  का इंतजार करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,अचानक आई मुश्किलों का सामना करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.8333,0.1667,0.1667,-0.0
7,सर आपकी इच्छा जय सियाराम,5,0.4,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.4,0.0,0.4,0.4,0.2,0.2
8,जी फीडबैक मिलने  पर सुधार करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.1667,0.1667,-0.0
9,जो एक महत्वपूर्ण भूमिका निभाते हैं,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
10,जीवन की चुनौतियों का सामना करना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,हम्म बहुत प्योर हार्ट रहता है सबका,7,0.1429,0.1429,-0.0,0.0,0.0,0.0,0.1429,0.1429,-0.0,0.2857,0.1429,0.1428,0.2857,0.1429,0.1428,0.1429,0.1429,-0.0
12,पूजा और प्रार्थना में  शामिल होना,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
13,डिश बनाते हैं वो ट्रेडिशनल डिशेस बनाते हैं तो कुछ कुछ अपन भी...,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0.0,0.1163,0.1163,0.0233,0.093,0.0233,0.0233,-0.0
